PairdID,Ecosystem,SourceUUTMethodName,SourceUUTStart,SourceUUTEnd,TargetMethodName,TargetMethodStart,TargetMethodEnd,SourceMatchedPercent,SourceUnMatchedPercent,TargetMatchedPercent,TargetUnMatchedPercent,SourceMatchingGroup,Rating1,Rating2,Rating,Rater1CloneType,Rater2CloneType,Rater1AcceptStatus,Rater2AcceptStatus,,Rating,,"14, 21, 55, 59, 64, 68, 94, 96, 97, 122, 134, 137, 142, 152, 163, 164, 174, 177, 178, 211, 222, 230, 238, 249, 273, 275, 284, 285, 311, 314, 315, 322"
1,ocpsoft/rewrite,getEnd,132,137,getEnd,41,46,100,0,100,0,100,4,2,3,1,1,Accept,Accept,,,,"331, 341, 342, 359, 366, 367, 371, 423, 447, 451, 454, 471, 478, 530, 533, 534, 540, 545, 549, 553, 556, 557, 566, 568, 595, 598, 600, 619, 626, 627, 642, 647"
2,ocpsoft/rewrite,getCaptured,128,133,getCaptured,46,51,100,0,100,0,100,4,2,3,1,1,Accept,Accept,,,,
3,ocpsoft/rewrite,toQueryString,293,352,toQueryString,304,354,91.53,8.47,99.62,0.38,90-100,3,2,2.5,3,3,Accept,Accept,,,,
4,ocpsoft/rewrite,evaluate,98,104,evaluate,66,74,83.87,16.13,68.42,31.58,80-89,0,0,0,4,4,Accept,Reject,,,,
5,ocpsoft/rewrite,balancedCapture,34,94,balancedCapture,29,81,75.78,24.22,80.81,19.19,70-79,3,2,2.5,3,4,Accept,Accept,,,,
6,jayway/JsonPath,read,170,213,map,238,269,100,0,45.03,54.97,100,0,0,0,1,4,Reject,Reject,,,,
7,jayway/JsonPath,read,170,213,map,238,269,100,0,45.03,54.97,100,4,0,2,1,4,Reject,Reject,,,,
8,jayway/JsonPath,read,169,204,map,238,269,99.48,0.52,2.34,97.66,90-100,0,0,0,4,4,Reject,Reject,,,,
9,jenkinsci/performance-plugin,getUriReportMap,420,424,getUriReportMap,228,232,100,0,100,0,100,4,2,3,1,1,Accept,Accept,,,,
10,jenkinsci/performance-plugin,create,40,49,create,40,49,100,0,100,0,100,4,2,3,1,1,Accept,Accept,,,,
11,jenkinsci/performance-plugin,loadSerializedReport,122,155,loadSerializedReport,92,125,98.73,1.27,100,0,90-100,3,1,2,3,2,Accept,Accept,,,,
12,jenkinsci/performance-plugin,parse,50,114,parse,39,95,85.79,14.21,99.41,0.59,80-89,0,1,0.5,3,3,Accept,Accept,,,,
13,jenkinsci/performance-plugin,parse,50,114,parse,50,124,79.95,20.05,75.18,24.82,70-79,0,1,0.5,4,3,Accept,Accept,,,,
14,jenkinsci/performance-plugin,addSample,148,186,addSample,84,118,60.84,39.16,85.55,14.45,60-69,4,4,4,3,3,Accept,Accept,,1,,"331, 341, 342, 359, 366, 367, 371, 423, 447, 451, 454, 471, 478, 530, 533, 534, 540, 545, 549, 553, 556, 557, 566, 568, 595, 598, 600, 619, 626, 627, 642, 647"
15,jenkinsci/performance-plugin,addSample,148,187,addSample,84,118,58.38,41.62,85.55,14.45,50-59,4,1,2.5,3,3,Accept,Accept,,,,
16,jenkinsci/envinject-plugin,decorateLogger,154,183,maskPasswordsJobParameterIfAny,31,47,70.37,29.63,92.38,7.62,70-79,0,0,0,4,3,Reject,Reject,,,,
17,jenkinsci/envinject-plugin,decorateLogger,154,183,maskPasswordsJobParameterIfAny,29,44,68.89,31.11,91.92,8.08,60-69,0,0,0,4,3,Reject,Reject,,,,
18,shrinkwrap/resolver,ValidationUtil,50,57,ValidationUtil,50,57,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
19,shrinkwrap/resolver,ValidationUtil,50,57,ValidationUtil,50,57,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
20,shrinkwrap/resolver,ClasspathWorkspaceReader,151,159,ClasspathWorkspaceReader,57,67,96.15,3.85,90.32,9.68,90-100,4,0,2,3,0,Accept,,,,,
21,shrinkwrap/resolver,packageDirectories,191,218,packageDirectories,183,204,84.48,15.52,99.01,0.99,80-89,4,4,4,3,3,Accept,Accept,,1,,
22,modcluster/mod_cluster,createServer,34,36,createServer,34,36,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
23,modcluster/mod_cluster,createServer,34,36,createServer,34,36,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
24,gresrun/jesque,getSize,54,58,getSize,43,48,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
25,gresrun/jesque,getSize,54,58,getSize,43,48,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
26,gresrun/jesque,Config,53,80,Config,50,86,95.24,4.76,99.47,0.53,90-100,0,0,0,3,0,Accept,,,,,
27,gresrun/jesque,getPendingCount,89,107,getPendingCount,72,90,87.84,12.16,96,4,80-89,0,0,0,3,0,Accept,,,,,
28,gresrun/jesque,AdminImpl,108,128,AdminPoolImpl,99,116,72.95,27.05,91.3,8.7,70-79,0,0,0,3,0,Accept,,,,,
