PairdID,Ecosystem,SourceUUTProject,SourceUUTMethodName,SourceUUTStart,SourceUUTEnd,TargetMethodName,TargetUUTProject,TargetMethodStart,TargetMethodEnd,SourceTokens,SourceMatchedPercent,SourceUnMatchedPercent,TargetTokens,TargetMatchedPercent,TargetUnMatchedPercent,SourceMatchingGroup,Rating1,Rating2,Rating,Rater1CloneType,Rater2CloneType,Rater1AcceptStatus,Rater2AcceptStatus,Rater1Comment,Rater2Comment
1,ocpsoft/rewrite,chkal/rewrite,getEnd,132,137,getEnd,ALRubinger/rewrite,41,46,7,100,0,7,100,0,100,4,2,3,1,1,Accept,Accept,Int return type,"Input: same, i.e. none, Output: same type, getter for same typed and named attribute/field, Sideeffects: none, Context: Implementing class seems to fulfil a different functionality, Judgement: functionality is 100% identical, so function itself is applicable, method is applicable within testcase"
2,ocpsoft/rewrite,mkouba/rewrite,getCaptured,128,133,getCaptured,ALRubinger/rewrite,46,51,18,100,0,18,100,0,100,4,2,3,1,1,Accept,Accept,Char array return type,"Input: same, i.e. none, Output: same in both cases, Sideeffects: none, Context: Function is nested inside a static nested class on src-side, which has the same name as tgt class, entire classes seem to be clones, used attributes have same name and type, Judgement: identical function, applicable, method applicable within this testcase"
3,ocpsoft/rewrite,mkouba/rewrite,toQueryString,293,352,toQueryString,ALRubinger/rewrite,304,354,295,91.53,8.47,260,99.62,0.38,90-100,4,2,3,3,3,Accept,Accept,"String::APPLICABLE but test may fail because...there exists a mismatched Assignment token for one variable that affects the returned value. This assignment token URLencodes a string value. While the variable is matched in target UUT, the URL encoding will make the test case fail for one of the three test cases where the sourceUUT is invoked. OVERAL: failiur is because there exists Assignment token mismatched which modifies the value of a variable that affects the returned value of the method.","Input: same, i.e. none, Output: string in both cases, src does some additional exception handling and encodes elements it writes to string with UTF-8 Sideeffects: , Context: implementing classes are related, but namewise not necessarily identical, Judgement: not necessarily applicable, depends on method usage inside testcase, whether encoding or exception throwing matters. Testcase does not seem to rely on src-specific behaviour."
4,ocpsoft/rewrite,ALRubinger/rewrite,evaluate,98,104,evaluate,jsight/rewrite,66,74,31,83.87,16.13,38,68.42,31.58,80-89,0,0,0,4,4,Accept,Reject,bolean::targetUUT has a mismatched ReturnStatement in a mismatched control flow (IfStatement). This indicates that the output of the two methods may be different. sourceUUT has a ReturnStatement with a mismatched InfixExpression. This indiates that the output may be different from that of targetUUT,"Input: same, Output: same in both cases, Sideeffects: none, Context: Related, but not necessarily functionally equivalent classes, tgt evaluates on a Path, which inherits from DefaultConditionBuilder, which gets passed conditions to build up one, so the actual evaluation could be equivalent, however src checks if the condition is set, whereas tgt only evaluates, if the event is of a certain type (implements a specific interface), Judgement: not necessarily applicable, is that a clone? Testcase not applicable as for given input src will return true, tgt will return false as null is not instanceof OutboundRewrite."
5,ocpsoft/rewrite,chkal/rewrite,balancedCapture,34,94,balancedCapture,ALRubinger/rewrite,29,81,289,75.78,24.22,271,80.81,19.19,70-79,4,2,3,3,4,Accept,Accept,"sourceUUT's mismatched MethodInvokation is used in an IfStatement but the body of the IfStatement has a match in targetUUT. This means that the method invokation simplifies the IfExpression in the target.==A Mismatched VariableDeclarationStatement in sourceUUT is used in a WhileConditionExpression, which has match in targetUUT. ==The mismatched VariableDeclarationStatement is used in an IfStatement or ElseIfStatement that has a match in targetUUT this indicates that sourceUUT stores the value beforehand and then uses it in the IfStatement.== A mismatched MethodInvocation uses one of the mismatched VariableDeclation simple names i.e. variable names, and is used in an IfStatement that has a match in targetUUT","Input: same, Output: same type , Sideeffects: , Context: implementing classes have same name, src calls method which is in-src in tgt, methods are in general semantic clones, but src does some extra exception catching in the end, Judgement: depends on what is tested, flagging as with modification, should be applicable as its checking that based on first character no exception should be thrown, which is dealt with in the same way, other: src uses <=, tgt uses < in lines 60/58"
6,jayway/JsonPath,atomcat1978/JsonPath,read,170,213,map,jayway/JsonPath,238,269,231,100,0,171,45.03,54.97,100,4,0,2,1,4,Accept,Reject,Generic Object return type::wrongly mapped::should be mapped to 168-211,"Input: , Output: , Sideeffects: , Context: same implementing class name, Judgement: wrongly mapped -> should be mapped to read-function in tgt"
7,jayway/JsonPath,zline/JsonPath,read,170,213,map,jayway/JsonPath,238,269,231,100,0,171,45.03,54.97,100,4,0,2,1,4,Accept,Reject,Generic Object return type::mismatched::should have been mapped to 168-210::perfect match exists,"Input: , Output: , Sideeffects: , Context: same implementing class name, Judgement: wrongly mapped -> should be mapped to read-function in tgt"
8,jayway/JsonPath,AndersDJohnson/JsonPath.java,read,169,204,map,jayway/JsonPath,238,269,191,99.48,0.52,171,2.34,97.66,90-100,4,0,2,3,4,Accept,Reject,Generic Object return type::mismatched::should have been mapped to 168-210::better match exists::applicable because changes in target do not affect test case considering that all tokens in source are matched in target.,"Input: , Output: , Sideeffects: , Context: same implementing class name, Judgement: wrongly mapped -> should be mapped to read-function in tgt"
9,jenkinsci/performance-plugin,tilln/performance-plugin,getUriReportMap,420,424,getUriReportMap,hitesh22/performance-plugin,228,232,13,100,0,13,100,0,100,4,2,3,1,1,Accept,Accept,Generic Map return Type,"Input: same, i.e. none, Output: same type, Sideeffects: none, Context: same implementing class name, uses same typed and named attribute, Judgement: same behaviour, applicable, no (differing) output/sideeffects inside method, so the testcase's applicability is not up to this particular method"
10,jenkinsci/performance-plugin,briceruzand/performance-plugin,create,40,49,create,hitesh22/performance-plugin,40,49,65,100,0,65,100,0,100,4,2,3,1,1,Accept,Accept,Custom object return type,"Input: same, Output: same, Sideeffects: -, Context: implementing class has same name and is a perfect clone apart from being placed in a different package, Judgement: identical method, identical class, applicable"
11,jenkinsci/performance-plugin,artem-fedorov/performance-plugin,loadSerializedReport,122,155,loadSerializedReport,hitesh22/performance-plugin,92,125,158,98.73,1.27,158,100,0,90-100,4,1,2.5,3,2,Accept,Accept,"sourceUUT's mismatched SimpleName is used as part of ClassInstanceCreation for a variable whose Type (in VariableDeclaration) has a match in target. This means the missing SimpleName is a Sub-class. i.e. x = new MissingSubType(...), where there exists a matched declaration  (MatchedType x)","Input: same, Output: same, Sideeffects: but src conditionally uses a subclass of a class tgt which overrides a method probably used inside called method, could differ in behaviour, this method affects a used field, which is also initialized slightly different (softValues()) Context: same implementing class, Judgement: conditionally, but probably in most cases this affects the behaviour, flagged as with modification"
12,jenkinsci/performance-plugin,briceruzand/performance-plugin,parse,50,114,parse,hitesh22/performance-plugin,39,95,394,85.79,14.21,340,99.41,0.59,80-89,4,1,2.5,3,3,Accept,Accept,"PHASE2::source sets some additional properties to output object but these have no impact on test coverag hence test can be applied as is::PHASE 1::Not applicable because sourceUUT mismatched methodInvocation belongs to a statement that initializes a variable. i.e., the method returns an object that is assigned to a variable. The variable has a match in the targetUUT. This means that in sourceUUT the variable is initialised from a method call while in targetUUT the same variable is initialized directly through a default constructor. After checking the superclass (AbstractParsr) for this class (JUnitParser), we found that the constuctor used for this variable inthe  sourceUUT variable intialization uses  two parameters, whcih changes the state of the object being tested. Also following the mismatched MethodInvocation are two mismatched ExpressionStatements and MethodInvocations which refer to the same variable that has been initialized through the ealier stated MethodInvoation. This means more properties were being set regarding the same object created before. Therefore the states of the two objects in surceUUT and targetUUT are different. OVERALL the test case cannot be applied since the objects being tested are in different states and the test case wll fail in the targetUUT. We can say if two matching variables are initialized in different ways, and the one variable has more properties being set which are not done in the targetUUT, then the objects are in different states and the test case might fail.","Input: same, Output: same, Sideeffects: src sets additional attributes in output, which tgt does not, src only conditionally sets date of current sample, and an additional attribute, Context: same implementing class, Judgement: applicability depends on what the testcase tests for and whether the conditional cases where src differs are met, other: bug in tgt (twice same condition in elif)"
13,jenkinsci/performance-plugin,briceruzand/performance-plugin,parse,50,114,parse,JohnMurray/performance-plugin,50,124,394,79.95,20.05,419,75.18,24.82,70-79,0,1,0.5,4,3,Accept,Accept,"Not applicable because input and output is diferent. targetUUT has different method parameters than sourceUUT, and targetUUT returns a collection while sourceUUT returns a single object. This entaills different behaviour. The testcase works with the sourceUUT method.","Input: different, tgt gets two additional inputs and a list of files compared to the single one, src receives, Output: single output vs list of outputs, src sets different attributes for its single result, parser on src-side sets different attributes of output compared to tgt. Tgt performs additional exception handlingSideeffects: , Context: same class name, implementing different superclass, Judgement: testcases might still be applicable, given that the input is adjusted for the target to be a single-element list and none of the src-specific behaviour is checked for."
14,jenkinsci/performance-plugin,pmouawad/performance-plugin,addSample,148,186,addSample,hitesh22/performance-plugin,84,118,166,60.84,39.16,173,85.55,14.45,60-69,4,4,4,3,3,Accept,Accept,"void::mismatched control-flow statements in source, which use methods not defined in target","Interrater-agreement: Void output. Same I/O (returns void). Src has an additional conditional statement, allowing for earlier returning (l.157-159). State of object, on which method is called, is also effected differently in both cases. E.g. l. 165 in source or l. 114-115 in tgt. Old assessment: Input: same imput, Output: void in both cases, but tgt might throw an exception compared to src, src might return earlier in case of an invalid input, in which case tgt might throw an exception (assumption) Sideeffects: both write to same typed and named attribute, src writes additional information, and increments another variable, even though a direct mapping to the one tgt is usiung exists, conditionally differing behaviour in src, tgt writes additional attributes (most likely not relevant for porting testcase) Context: same implementing class, Judgement: conditionally applicable, in case differing behaviour is not triggered by input"
15,jenkinsci/performance-plugin,briceruzand/performance-plugin,addSample,148,187,addSample,hitesh22/performance-plugin,84,118,173,58.38,41.62,173,85.55,14.45,50-59,4,1,2.5,3,3,Accept,Accept,"void::mismatched control-flow statements in source, which use methods not defined in target","Input: same imput, Output: void in both cases, but tgt might throw an exception compared to src, src might return earlier in case of an invalid input (assessed by local function), in which case tgt might throw an exception (assumption) Sideeffects: both write to same typed and named attribute, src writes additional information, and increments another variable, even though a direct mapping to the one tgt is usiung exists, conditionally differing behaviour in src, tgt writes additional attributes, not existant in src (most likely not relevant for porting testcase) Context: same implementing class, Judgement: conditionally applicable, in case differing behaviour is not triggered by input"
