ecosystem,size
jscep/jscep,2
skyscreamer/yoga,2
aerogear/aerogear-otp-java,2
IFMO-MobDev-2014/lesson4,2
Bukkit/Bukkit,2
ippontech/tatami,2
devopsfolks/podam,2
OpenHFT/Java-Lang,2
joshlong/the-spring-rest-stack,2
palominolabs/metrics-guice,2
BlackLabs/play-morphia,2
code4craft/webmagic,2
robert-bor/aho-corasick,2
splitwise/TokenAutoComplete,2
eclipsesource/restfuse,2
boatmeme/microsoft-translator-java-api,2
UniversalMediaServer/UniversalMediaServer,2
mitreid-connect/OpenID-Connect-Java-Spring-Server,2
Tillerino/Tillerinobot,2
forge/roaster,2
dianping/wormhole,2
apache/crunch,2
iainporter/rest-java,2
Inmakia/ecp2SoniaMartinezMartin,2
Netflix/eureka,2
doanduyhai/Achilles,2
addthis/hydra,2
JCTools/JCTools,2
apache/pig,2
jenkinsci/acceptance-test-harness,2
apache/curator,2
OpenHFT/Java-Thread-Affinity,2
jcabi/jcabi-github,2
jhusain/learnrxjava,2
galenframework/galen,2
nasa/mct,2
j256/ormlite-jdbc,2
mendhak/gpslogger,2
jbehave/jbehave-web,2
e-biz/androidkickstartr,2
SlimRoms/packages_apps_Dialer,2
hcoles/pitest,2
searchbox-io/Jest,2
juleswhite/mobilecloud-14,2
johncarl81/transfuse,2
jdeferred/jdeferred,2
Jasig/CalendarPortlet,2
ahorn/android-rss,2
openmrs/openmrs-module-webservices.rest,2
QuantumBadger/RedReader,2
linkedin/parseq,2
larsga/Duke,2
jenkinsci/hipchat-plugin,2
lastfm/musicbrainz-data,2
jenkinsci/violations-plugin,2
Haehnchen/idea-php-symfony2-plugin,2
jenkinsci/xunit-plugin,2
spullara/redis-protocol,2
google/google-http-java-client,2
tdziurko/Guava-Lessons,2
mttkay/signpost,2
mikaelhg/urlbuilder,2
peter-lawrey/Java-Chronicle,2
JFrogDev/jenkins-artifactory-plugin,2
neo4j-contrib/neo4j-jdbc,2
usb4java/usb4java,2
migtavares/owmClient,2
jboss-switchyard/components,2
junkdog/artemis-odb,2
mkotsur/restito,2
jhunters/jprotobuf,2
Bukkit/Bukkit-JavaDoc,2
GabiAxel/spring-social-google,2
mcMMO-Dev/mcMMO,2
8thlight/HangmanJava,2
apache/servicemix,2
apache/mina-sshd,2
pkainulainen/spring-mvc-test-examples,2
github/maven-plugins,2
dain/leveldb,2
erickok/transdroid-search,2
wg/lettuce,2
robotmedia/AndroidBillingLibrary,2
julianhyde/optiq,2
alibaba/wasp,2
arquillian/arquillian-extension-drone,2
grundid/nfctools,2
jenkinsci/copyartifact-plugin,2
apache/maven-scm,2
serso/android-checkout,2
mrniko/netty-socketio,2
tackley/dbdeploy,2
throrin19/Android-Validator,2
SlimRoms/frameworks_opt_telephony,2
Countly/countly-sdk-android,2
Wikidata/Wikidata-Toolkit,2
JakeWharton/DiskLruCache,2
BillSchofield/TDDIntro,2
samskivert/jmustache,2
jboss-reddeer/reddeer,2
Atmosphere/nettosphere,2
etsy/Conjecture,2
pentaho/pentaho-platform-plugin-reporting,2
dwdyer/reportng,2
arquillian/arquillian-examples,2
mpatric/mp3agic,2
orientechnologies/spring-data-orientdb,2
bugsnag/bugsnag-android,2
JodaOrg/joda-money,2
Esri/spatial-framework-for-hadoop,3
spotify/docker-maven-plugin,3
lookfirst/sardine,3
square/pollexor,3
Sable/heros,3
taoneill/war,3
pentaho/data-access,3
jenkinsci/s3-plugin,3
agoncal/agoncal-book-javaee7,3
Netflix/denominator,3
jenkinsci/gitlab-plugin,3
apache/oltu,3
arquillian/arquillian-container-tomcat,3
xwiki/xwiki-enterprise,3
Top-Q/jsystem,3
Nilhcem/FakeSMTP,3
yahoo/omid,3
paypal/sdk-core-java,3
dcm4che/dcm4che,3
xebialabs/overthere,3
edwardcapriolo/filecrush,3
SonarSource/sonar-scanner-api,3
jenkinsci/findbugs-plugin,3
twitter/hbc,3
cyclestreets/android,3
HolmesNL/kafka-spout,3
jbossas/jboss-as-maven-plugin,3
roundrop/facebook4j,3
zhangkaitao/spring4-showcase,3
sendgrid/sendgrid-java,3
emilsjolander/sprinkles,3
jenkinsci/cvs-plugin,3
TomasMikula/RichTextFX,3
dlew/joda-time-android,3
LitePalFramework/LitePal,3
alexruiz/fest-assert-2.x,3
Bluelock/camel-spring-amqp,3
mozilla/MozStumbler,3
SonarSource/sonar-scanner-jenkins,3
webx/citrus,3
taskadapter/redmine-java-api,3
jknack/handlebars.java,3
Raxa/raxacore,3
tinkerpop/blueprints,3
openshift/openshift-java-client,3
jeluard/semantic-versioning,3
mrmans0n/smart-location-lib,3
thekrakken/java-grok,3
spullara/mustache.java,3
jenkinsci/android-emulator-plugin,3
LiveRamp/jack,3
johncarl81/parceler,3
udacity/ud859,3
radargun/radargun,3
perwendel/spark,3
tfnico/guava-examples,3
jenkinsci/mesos-plugin,3
PEXPlugins/PermissionsEx,3
cloudfoundry/java-buildpack-auto-reconfiguration,3
twilio/twilio-java,3
resthub/resthub-spring-stack,3
preon/preon,3
android/platform_packages_providers_telephonyprovider,3
SpigotMC/Spigot-API,3
habuma/SpringInActionExamples,3
jmxtrans/embedded-jmxtrans,3
neo4j-contrib/cypher-dsl,3
jenkinsci/instant-messaging-plugin,3
GeoNode/geoserver-geonode-ext,3
jboss-switchyard/core,3
basho/riak-java-client,3
iron-io/iron_mq_java,3
Netflix/Turbine,3
forcedotcom/wsc,3
stripe/stripe-java,3
wg/scrypt,3
tinkerpop/frames,3
magro/kryo-serializers,4
jenkinsci/git-client-plugin,4
maxmind/GeoIP2-java,4
jboss-msc/jboss-msc,4
jenkinsci/disk-usage-plugin,4
sachin-handiekar/jInstagram,4
pedrovgs/Algorithms,4
pinterest/secor,4
wurstmeister/storm-kafka-0.8-plus,4
prometheus/jmx_exporter,4
jenkinsci/build-timeout-plugin,4
fmueller/sonar-scala,4
opentok/Opentok-Java-SDK,4
dadoonet/fscrawler,4
notnoop/java-apns,4
secure-software-engineering/soot-infoflow,4
mopub/mopub-android-sdk,4
boncey/Flickr4Java,4
thelinmichael/spotify-web-api-java,4
openmrs/openmrs-module-referenceapplication,4
percyliang/sempre,4
dropwizard/dropwizard,4
jesperfj/force-rest-api,4
mobilesystems/box-java-sdk-v2,4
michel-kraemer/bson4jackson,4
eclipse/thym,4
lemire/javaewah,4
crawljax/crawljax,4
tomakehurst/wiremock,4
kairosdb/kairosdb-client,4
plutext/docx4j-ImportXHTML,4
NLPchina/elasticsearch-sql,4
RestExpress/PluginExpress,4
Ecwid/ecwid-mailchimp,4
komoot/photon,4
alibaba/fastjson,4
jboss-switchyard/quickstarts,4
DozerMapper/dozer,4
seam/faces,4
tomighty/tomighty,4
HdrHistogram/HdrHistogram,4
ljader/redmine-mylyn-plugin,4
paymill/paymill-java,4
kinow/testlink-java-api,4
AdamBien/lightfish,4
vipinsthename/environment-dashboard,4
jenkinsci/clearcase-plugin,4
alexxiyang/shiro-redis,4
jmeter-maven-plugin/jmeter-maven-plugin,4
apache/maven-surefire,4
square/okio,4
spring-cloud/spring-cloud-connectors,4
logstash/log4j-jsonevent-layout,4
eclipse/nebula,4
skyscreamer/JSONassert,4
mpetazzoni/ttorrent,4
versly/wsdoc,4
omnirom/android_frameworks_opt_telephony,4
alphazero/jredis,4
awslabs/amazon-kinesis-client,4
dreamhead/moco,4
jenkinsci/analysis-core-plugin,4
cloudfoundry-community/spring-boot-cf-service-broker,4
ocpsoft/rewrite,4
mybatis/guice,4
jenkinsci/vsphere-cloud-plugin,4
modcluster/mod_cluster,4
rackerlabs/blueflood,4
pentaho/modeler,4
jexp/batch-import,4
airbrake/airbrake-java,4
square/phrase,4
jenkinsci/git-parameter-plugin,5
Cloudname/cloudname,5
jenkinsci/ec2-plugin,5
ligi/FAST,5
datasift/dropwizard-extra,5
rcarz/jira-client,5
mboudreau/Alternator,5
jbake-org/jbake,5
Netflix/ribbon,5
jenkinsci/artifactory-plugin,5
pires/obd-java-api,5
jenkinsci/github-plugin,5
addthis/stream-lib,5
jnr/jnr-ffi,5
jenkinsci/promoted-builds-plugin,5
